City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,62.6,88,40,13.8,scattered clouds
1,Castro,BR,-24.7911,-50.0119,70.29,91,46,7.31,scattered clouds
2,Bac Lieu,VN,9.285,105.7244,72.81,86,13,10.87,few clouds
3,Avarua,CK,-21.2078,-159.775,84.2,74,41,10.36,scattered clouds
4,Tabas,IR,33.5959,56.9244,37.4,17,0,4.61,clear sky
5,Port Elizabeth,ZA,-33.918,25.5701,71.6,73,40,24.16,scattered clouds
6,Santa Cruz De La Palma,ES,28.6835,-17.7642,64.4,52,75,8.05,broken clouds
7,Tuatapere,NZ,-46.1333,167.6833,62.53,60,12,3.76,few clouds
8,Punta Arenas,CL,-53.15,-70.9167,55.4,76,0,17.27,clear sky
9,Qaanaaq,GL,77.484,-69.3632,9.32,92,98,1.3,overcast clouds
10,Dunda,TZ,-8.1167,34.25,65.23,90,99,2.15,overcast clouds
11,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,94,40,16.37,light rain
12,Pella,RU,59.7775,30.8181,8.6,85,75,4.47,snow
13,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,75,12.66,broken clouds
14,Vaini,TO,-21.2,-175.2,84.2,79,40,9.22,scattered clouds
15,Ushuaia,AR,-54.8,-68.3,62.6,51,20,6.91,few clouds
16,Cape Town,ZA,-33.9258,18.4232,66.99,88,75,12.66,broken clouds
17,Kaitangata,NZ,-46.2817,169.8464,64.99,76,44,1.99,scattered clouds
18,Cidreira,BR,-30.1811,-50.2056,77.13,82,14,20.15,few clouds
19,Boa Vista,BR,2.8197,-60.6733,86.0,54,75,11.5,broken clouds
20,Portland,US,45.5234,-122.6762,50.0,87,90,0.22,overcast clouds
21,Barrow,US,71.2906,-156.7887,-9.4,77,1,18.41,clear sky
22,Nyurba,RU,63.2842,118.3319,-31.2,83,100,6.55,overcast clouds
23,Busselton,AU,-33.65,115.3333,59.0,79,0,4.0,clear sky
24,Norrtalje,SE,59.758,18.705,28.99,89,86,8.01,overcast clouds
25,Burnie,AU,-41.0667,145.9167,53.01,77,91,14.0,overcast clouds
26,Guerrero Negro,MX,27.9769,-114.0611,80.53,16,0,6.2,clear sky
27,Khandyga,RU,62.6667,135.6,-48.24,76,58,0.98,broken clouds
28,Bethel,US,41.3712,-73.414,39.99,81,90,8.05,overcast clouds
29,Mount Isa,AU,-20.7333,139.5,84.2,23,17,13.8,few clouds
30,Port Alfred,ZA,-33.5906,26.891,69.01,89,48,1.01,scattered clouds
31,Iqaluit,CA,63.7506,-68.5145,12.2,79,90,18.41,snow
32,Biel,CH,47.1324,7.2441,27.0,100,20,5.75,few clouds
33,Airai,TL,-8.9266,125.4092,62.46,100,100,0.92,overcast clouds
34,Longyearbyen,SJ,78.2186,15.6401,21.2,86,75,5.75,broken clouds
35,North Bend,US,43.4065,-124.2243,60.01,88,40,1.07,scattered clouds
36,Sao Felix Do Xingu,BR,-6.6447,-51.995,78.31,94,100,0.94,light rain
37,Kavieng,PG,-2.5744,150.7967,77.4,90,100,21.12,moderate rain
38,Vila Velha,BR,-20.3297,-40.2925,80.6,74,40,11.5,scattered clouds
39,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.6,69,0,18.41,clear sky
40,Jamestown,US,42.097,-79.2353,42.01,65,90,17.27,light rain
41,Ilulissat,GL,69.2167,-51.1,12.2,67,20,12.66,few clouds
42,Hilo,US,19.7297,-155.09,82.4,57,20,6.69,few clouds
43,Ponta Do Sol,PT,32.6667,-17.1,53.01,61,3,4.0,clear sky
44,Torbay,CA,47.6666,-52.7314,32.0,93,90,21.85,moderate rain
45,Kapaa,US,22.0752,-159.319,79.0,78,1,6.91,clear sky
46,Hoi An,VN,15.8794,108.335,60.8,100,75,1.14,broken clouds
47,Bluff,NZ,-46.6,168.3333,58.21,87,98,1.77,overcast clouds
48,Chuy,UY,-33.6971,-53.4616,78.1,72,80,14.76,broken clouds
49,Upernavik,GL,72.7868,-56.1549,14.99,95,100,4.0,overcast clouds
50,Nabire,ID,-3.3667,135.4833,76.19,86,100,3.85,overcast clouds
51,Bredasdorp,ZA,-34.5322,20.0403,68.0,60,0,12.66,clear sky
52,Svebolle,DK,55.6518,11.2866,30.0,82,82,8.01,broken clouds
53,Mataura,NZ,-46.1927,168.8643,65.3,64,22,2.3,few clouds
54,Sitka,US,57.0531,-135.33,44.6,81,75,11.5,light rain
55,Mar Del Plata,AR,-38.0023,-57.5575,77.0,65,75,13.8,broken clouds
56,Mana,GF,5.6592,-53.7767,78.08,86,72,11.74,broken clouds
57,Hermanus,ZA,-34.4187,19.2345,63.0,83,0,12.55,clear sky
58,Geraldton,AU,-28.7667,114.6,82.4,39,0,21.85,clear sky
59,Altay,CN,47.8667,88.1167,-3.1,55,0,2.86,clear sky
60,Grajau,BR,-5.8194,-46.1386,77.32,90,98,2.3,heavy intensity rain
61,Paamiut,GL,61.994,-49.6678,28.08,95,100,17.16,light snow
62,Hobart,AU,-42.8794,147.3294,57.2,58,75,12.66,light rain
63,Atuona,PF,-9.8,-139.0333,77.23,78,1,12.93,clear sky
64,Dikson,RU,73.5069,80.5464,-31.97,80,67,4.52,broken clouds
65,Puerto Ayora,EC,-0.7393,-90.3518,82.4,65,40,3.44,scattered clouds
66,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,52,75,8.05,broken clouds
67,Khatanga,RU,71.9667,102.5,-47.63,76,36,2.39,scattered clouds
68,Ambovombe,MG,-25.1667,46.0833,76.06,92,46,5.35,scattered clouds
69,Griffith,US,41.5284,-87.4237,34.0,100,90,2.62,light snow
70,Bambous Virieux,MU,-20.3428,57.7575,81.0,94,75,8.05,broken clouds
71,Naze,JP,28.3667,129.4833,59.94,72,1,7.43,clear sky
72,New Norfolk,AU,-42.7826,147.0587,57.99,71,70,3.0,broken clouds
