City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kananga,-5.8958,22.4178,68.32,95,100,0.87,CD,2021-01-13 23:38:31
1,Cape Town,-33.9258,18.4232,72.0,73,0,12.66,ZA,2021-01-13 23:38:19
2,Mataura,-46.1927,168.8643,77.09,44,0,2.46,NZ,2021-01-13 23:38:31
3,Iberia,29.9502,-91.7507,55.0,62,1,10.36,US,2021-01-13 23:38:31
4,Asau,46.4333,26.4,28.4,100,42,2.3,RO,2021-01-13 23:34:49
5,Punta Arenas,-53.15,-70.9167,53.6,76,90,17.27,CL,2021-01-13 23:38:31
6,Ushuaia,-54.8,-68.3,57.2,54,75,4.85,AR,2021-01-13 23:36:21
7,Saskylakh,71.9167,114.0833,-44.52,76,94,10.54,RU,2021-01-13 23:34:51
8,Kokopo,-4.352,152.2633,84.6,64,93,2.53,PG,2021-01-13 23:38:31
9,Provideniya,64.3833,-173.3,5.0,72,90,8.95,RU,2021-01-13 23:38:32
10,Imeni Poliny Osipenko,52.4201,136.4853,-13.47,88,97,7.02,RU,2021-01-13 23:38:32
11,Hambantota,6.1241,81.1185,75.78,86,97,9.08,LK,2021-01-13 23:38:32
12,Busselton,-33.65,115.3333,62.01,62,90,4.0,AU,2021-01-13 23:38:32
13,Hobart,-42.8794,147.3294,69.01,45,75,8.05,AU,2021-01-13 23:37:23
14,Shorapur,16.5167,76.75,66.24,83,59,4.47,IN,2021-01-13 23:38:32
15,Hualmay,-11.0964,-77.6139,70.95,83,100,10.71,PE,2021-01-13 23:38:32
16,Narrabri,-30.3167,149.7833,82.4,44,0,12.66,AU,2021-01-13 23:38:32
17,Rikitea,-23.1203,-134.9692,77.99,75,64,12.64,PF,2021-01-13 23:38:32
18,Upernavik,72.7868,-56.1549,10.6,96,100,17.56,GL,2021-01-13 23:38:32
19,Chuy,-33.6971,-53.4616,63.39,62,0,10.18,UY,2021-01-13 23:38:32
20,Bluff,-46.6,168.3333,60.33,81,22,5.08,NZ,2021-01-13 23:38:33
21,Yellowknife,62.456,-114.3525,16.0,92,75,12.66,CA,2021-01-13 23:38:30
22,Srivardhan,18.0333,73.0167,77.23,54,3,4.88,IN,2021-01-13 23:38:33
23,Srednekolymsk,67.45,153.6833,-21.82,87,100,6.06,RU,2021-01-13 23:38:33
24,Hilo,19.7297,-155.09,84.2,51,20,8.05,US,2021-01-13 23:36:41
25,Constitucion,-35.3333,-72.4167,57.65,67,0,14.29,CL,2021-01-13 23:38:33
26,Kolondieba,11.0882,-6.8926,69.64,21,36,2.46,ML,2021-01-13 23:38:33
27,Port Alfred,-33.5906,26.891,66.99,97,100,18.84,ZA,2021-01-13 23:38:33
28,Esperance,-33.8667,121.9,59.0,63,90,6.91,AU,2021-01-13 23:33:37
29,Butaritari,3.0707,172.7902,81.57,77,81,19.84,KI,2021-01-13 23:38:33
30,Valera,9.3178,-70.6036,71.24,73,85,2.64,VE,2021-01-13 23:38:33
31,Albany,42.6001,-73.9662,34.0,68,99,2.59,US,2021-01-13 23:34:14
32,Ponta Do Sol,32.6667,-17.1,54.0,54,72,5.01,PT,2021-01-13 23:38:33
33,Bhanjanagar,19.9333,84.5833,63.93,90,2,1.63,IN,2021-01-13 23:38:34
34,Dubbo,-32.25,148.6167,86.0,32,30,13.8,AU,2021-01-13 23:36:24
35,Touros,-5.1989,-35.4608,80.6,78,40,11.5,BR,2021-01-13 23:35:30
36,Vaini,-21.2,-175.2,86.0,74,75,10.36,TO,2021-01-13 23:38:34
37,Puerto Ayora,-0.7393,-90.3518,87.8,55,75,18.41,EC,2021-01-13 23:38:34
38,Jamestown,42.097,-79.2353,36.0,75,1,10.36,US,2021-01-13 23:38:34
39,Atuona,-9.8,-139.0333,78.01,76,60,13.67,PF,2021-01-13 23:38:34
40,Georgetown,5.4112,100.3354,78.01,88,20,3.44,MY,2021-01-13 23:38:34
41,New Norfolk,-42.7826,147.0587,69.01,34,8,8.99,AU,2021-01-13 23:36:35
42,Hermanus,-34.4187,19.2345,71.01,84,40,11.01,ZA,2021-01-13 23:38:34
43,Fortuna,40.5982,-124.1573,60.01,94,90,4.61,US,2021-01-13 23:38:34
44,Mumford,5.2618,-0.759,79.41,86,23,10.65,GH,2021-01-13 23:34:49
45,Karratha,-20.7377,116.8463,98.31,26,6,6.11,AU,2021-01-13 23:38:03
46,Maturin,9.75,-63.1767,72.75,85,85,7.23,VE,2021-01-13 23:38:35
47,Sao Filipe,14.8961,-24.4956,71.44,74,81,12.64,CV,2021-01-13 23:38:35
